index,station_name,east_m,north_m
226,E8-1,4661.243940926040,-1292.153681006738
227,E8-2,4720.994014821998,-1268.906920541157
228,E8-3,4611.156546577799,-1260.333402259384
229,E8-4,4707.095643224911,-1221.586693202380
230,E9-1,6127.786155697479,1584.741176676368
231,E9-2,6170.060840620146,1619.957900630699
232,E9-3,6124.433732005928,1640.367721212238
233,E9-4,6215.655317719558,1646.640613351698
234,N1-1,-497.600314076841,-535.162656169542
235,N1-2,-420.214914969851,-546.092130904822
236,N10-1,-149.137388402447,8154.897303738652
237,N10-2,-191.514705870199,8161.212130118243
238,N10-3,-230.012741780565,8179.715496366140
239,N10-4,-142.571926140059,8202.211227793332
240,N13-1,-9106.668596716334,14569.921552113767
241,N13-2,-9060.594911935770,14581.810454813858
242,N13-3,-9131.574542860133,14604.031312941623
243,N13-4,-9084.516200959395,14628.886289677474
244,N15-1,-7789.336498979574,26522.884263724802
245,N15-2,-7729.773666368657,26541.092939915408
246,N15-3,-7826.423065562487,26567.181274673345
247,N15-4,-7779.605332973984,26575.963648417091
248,N16-1,-10521.498047766205,36153.772791918687
249,N16-2,-10444.456701181298,36181.648763113204
250,N16-3,-10508.379663320706,36203.754014162187
251,N16-4,-10455.358668929712,36224.629842568233
252,N2-1,-27.655092420198,-966.781081851698
253,N2-2,-117.120573177793,-969.662360450852
254,N2-3,-76.562121533104,-948.498123344874
255,N3-1,758.140910222227,-1117.722841391858
256,N3-2,710.227997554456,-1121.155488426370
257,N3-3,663.806631311457,-1095.001581194193
258,N4-1,1689.852427962398,-646.253270700262
259,N4-2,1657.052683660272,-610.126158327692
260,N4-3,1713.518153255000,-598.277561882479
261,N8-1,-1286.405891179740,4625.665129069566
262,N8-2,-1202.970584809203,4659.690936785048
263,N8-3,-1308.786583303364,4666.328683238869
264,N8-4,-1259.460705130695,4684.062359836716
265,N9-1,-4482.364032417186,4448.306998791715
266,N9-2,-4451.944778249763,4482.224831166068
267,N9-3,-4542.246366838732,4488.951927601397
268,N9-4,-4494.714694056223,4501.711674556034
269,S1-1,667.720673984884,-173.067384745353
270,S1-2,629.647814981972,-139.490665933441
271,S10-1,-7027.725369110821,-4363.757646843398
272,S10-2,-7007.475152420550,-4322.192851819915
273,S10-3,-6962.755990211180,-4318.179152911473
274,S10-4,-7044.754329805866,-4299.498516352681
275,S10-5,-7001.244916315464,-4264.903072591417
276,S10-6,-7057.101250838765,-4256.733640578444
277,S13-1,-10901.207173424900,-13873.137843997429
278,S13-2,-10943.021678229814,-13864.309518348986
279,S13-3,-10901.644928483411,-13827.263991534328
280,S13-4,-10965.809423218036,-13809.699492561334
281,S15-1,-25603.455394711822,-13277.306418575285
